SCHOOL_ID,ABSENCES_FIVE_OR_FEWER_PERCENT_ALL,ABSENCES_SIX_TO_FIFTEEN_PERCENT_ALL,ABSENCES_OVER_15_PERCENT_ALL,ABSENCES_CHRONIC_ABSENT_PERC_ALL,DROPOUT_7-12 Drop Outs -ALL Students,DROPOUT_7-12 Drop Outs -American Indian/Alaskan,DROPOUT_7-12 Drop Outs -Asian/Pacific Islander,DROPOUT_7-12 Drop Outs -Black,DROPOUT_7-12 Drop Outs -Economically Disadvantaged,DROPOUT_7-12 Drop Outs -Female,DROPOUT_7-12 Drop Outs -Hispanic,DROPOUT_7-12 Drop Outs -Male,DROPOUT_7-12 Drop Outs -Multi-Racial,DROPOUT_7-12 Drop Outs -Not Economically Disadvantaged,DROPOUT_7-12 Drop Outs -Students With Disability,DROPOUT_7-12 Drop Outs -Students Without Disability,DROPOUT_7-12 Drop Outs -White,CERTIFICATIONS_Positions_Average Annual Salary_Administrators,CERTIFICATIONS_Positions_Average Annual Salary_PK-12 Teachers,CERTIFICATIONS_Positions_Average Annual Salary_Support Personnel,CERTIFICATIONS_Positions_Average Contract Days_Administrators,CERTIFICATIONS_Positions_Average Contract Days_PK-12 Teachers,CERTIFICATIONS_Positions_Average Contract Days_Support Personnel,CERTIFICATIONS_Positions_Average Daily Salary_Administrators,CERTIFICATIONS_Positions_Average Daily Salary_PK-12 Teachers,CERTIFICATIONS_Positions_Average Daily Salary_Support Personnel,CERTIFICATIONS_Years Experience_Average_Administrators,CERTIFICATIONS_Years Experience_Average_PK-12 Teachers,CERTIFICATIONS_Years Experience_Average_Support Personnel,POVERTY_direct_cert_perc,INEXPERIENCED_Leaders,INEXPERIENCED_Teachers,WAIVED_Teachers,OUT_OF_FIELD_Teachers,GAA_ADEQUATE_PERCENT All Students English Language Arts,GAA_ADEQUATE_PERCENT All Students Mathematics,GAA_ADEQUATE_PERCENT All Students Science,GAA_ADEQUATE_PERCENT All Students Social Studies,GAA_LIMITED_PERCENT All Students English Language Arts,GAA_LIMITED_PERCENT All Students Mathematics,GAA_LIMITED_PERCENT All Students Science,GAA_LIMITED_PERCENT All Students Social Studies,GAA_PARTIAL_PERCENT All Students English Language Arts,GAA_PARTIAL_PERCENT All Students Mathematics,GAA_PARTIAL_PERCENT All Students Science,GAA_PARTIAL_PERCENT All Students Social Studies,GAA_THOROUGH_PERCENT All Students English Language Arts,GAA_THOROUGH_PERCENT All Students Mathematics,GAA_THOROUGH_PERCENT All Students Science,GAA_THOROUGH_PERCENT All Students Social Studies,LEXILE_LEXILE_MID_PERCENT,REVENUE_K-12 Expenditures Debt Services,REVENUE_K-12 Expenditures General Administration,REVENUE_K-12 Expenditures Instruction,REVENUE_K-12 Expenditures Instructional Support,REVENUE_K-12 Expenditures Maintenance and Operations,REVENUE_K-12 Expenditures Media,REVENUE_K-12 Expenditures Pupil Services,REVENUE_K-12 Expenditures Renovation and Capital Projects,REVENUE_K-12 Expenditures School Administration,REVENUE_K-12 Expenditures School food Services,REVENUE_K-12 Expenditures Transportation,INSTN_NAME
6250210,22.4,23.6,54.0,56.2,4.7,,,4.9,5.2,4.4,,5.0,,,9.0,3.7,,94166.0,56696.13,61807.5,205.8,191.54,190.0,457.56,295.99,325.3,20.8,9.65,12.0,52.09999847,100.0,72.0,17.0,,,,,,,,,,,,,,,,,,0.23870967741935484,0.0,0.0,7447.8,50.88,967.96,128.82,763.65,0.0,1090.19,0.0,0.0,The School of Liberal Studies at Savannah High
6250411,15.4,35.0,49.6,46.8,2.4,,,,,,,3.3,,2.0,,2.2,2.4,93043.33,58501.16,73027.75,209.67,190.0,190.0,443.77,307.9,384.36,15.33,11.73,17.0,10.5,,45.0,,,,,,,,,,,,,,,,,,,0.6638655462184874,0.0,0.0,5841.86,5.26,809.94,184.48,514.78,0.0,713.76,0.0,0.0,Islands High School
6252052,13.1,21.5,65.4,65.6,4.5,,,4.6,5.9,3.6,,5.5,,2.5,,4.6,,81520.67,53890.18,72523.5,204.83,192.01,191.25,397.99,280.66,379.21,16.33,8.02,19.5,43.09999847,43.0,57.0,21.0,,,,,,,,,,,,,,,,,,0.2403846153846154,0.0,0.0,5424.31,0.0,837.93,119.17,813.07,0.0,740.68,0.0,0.0,Beach High School
6252060,48.5,27.6,23.9,26.1,2.4,,,,,,,,,,,,,91443.33,55154.6,59494.11,209.67,190.0,190.0,436.14,290.29,313.13,14.67,8.3,12.0,67.69999695,67.0,73.0,21.0,,,,,,,,,,,,,,,,,,,0.0,0.0,6586.4,0.24,432.46,240.32,434.8,0.0,915.16,0.0,0.0,Hubert Middle School
6253056,16.6,29.7,53.8,55.3,4.9,,,5.9,4.2,4.3,,5.4,,5.4,6.9,4.5,,91376.0,61150.99,65200.6,209.67,191.99,190.0,435.82,318.51,343.16,18.33,13.37,16.0,30.10000038,43.0,40.0,23.0,,,,,,,,,,,,,,,,,,0.25663716814159293,0.0,0.0,5663.28,0.64,374.44,126.35,663.91,0.0,670.62,0.0,0.0,Groves High School
6255060,25.9,35.2,38.9,37.8,1.6,,,,,2.2,,,,1.7,,1.3,,102656.67,62733.11,68896.43,209.67,190.54,191.43,489.62,329.24,359.91,23.67,15.81,16.43,29.79999924,14.0,43.0,,,,,,,,,,,,,,,,,,,0.4232558139534884,0.0,0.0,6981.19,2.22,538.78,142.79,659.75,0.0,689.55,0.0,0.0,Jenkins High School
6255070,19.7,29.3,50.9,50.5,3.4,,,3.5,4.0,3.1,,3.7,,2.9,,3.3,,90101.67,60132.08,73899.31,209.67,191.18,190.0,429.74,314.53,388.94,21.67,12.94,17.0,31.89999962,29.0,38.0,21.0,,,,,,,,,,,,,,,,,,0.30434782608695654,0.0,0.0,6438.15,57.64,497.64,158.62,591.98,0.0,728.72,0.0,0.0,Windsor Forest High School
6280115,32.6,45.8,21.6,19.3,0.8,,,,,,,1.1,,1.0,,0.7,,108344.77,65770.07,70478.06,215.0,190.81,192.38,503.93,344.7,366.35,23.4,14.19,15.0,5.199999809,22.0,29.0,,,,,,,,,,,,,,,,,,,0.6903073286052009,0.0,0.0,6283.64,45.01,370.41,111.3,247.86,0.0,690.96,0.0,16.18,River Ridge High School
6280176,33.0,39.7,27.3,24.0,1.2,,,,,,1.8,1.7,,1.5,,1.1,1.1,101652.13,65996.88,74677.8,213.57,190.52,192.5,475.96,346.4,387.94,20.86,14.04,17.4,7.800000191,15.0,28.0,,,,,,,,,,,,,,,,,,,0.7006802721088435,0.0,0.0,5951.15,44.04,246.18,94.65,208.83,0.0,669.2,0.0,11.89,Etowah High School
6280191,36.3,43.0,20.7,19.0,0.9,,,,,,,0.9,,1.0,,0.8,0.6,99564.06,68243.66,72226.75,215.0,190.77,192.33,463.09,357.73,375.54,19.8,15.4,17.22,5.5,22.0,45.0,,,,,,,,,,,,,,,,,,,0.7575150300601202,0.0,0.0,6254.93,56.31,273.2,115.22,261.76,0.0,604.63,0.0,15.36,Sequoyah High School
